primetype,group,item,type,target,prime,expected
morph,A,1,experimental,REDNESS,reddish,f
morph,B,1,control,REDNESS,kingdom,f
morph,B,2,experimental,UNSET,reset,f
morph,A,2,control,UNSET,fence,f
morph,A,3,experimental,COOLNESS,coolly,f
morph,B,3,control,COOLNESS,butter,f
morph,B,4,experimental,DARKLY,darkness,f
morph,A,4,control,DARKLY,district,f
morph,A,5,experimental,BAKER,bakery,f
morph,B,5,control,BAKER,circus,f
morph,B,6,experimental,FALSIFY,falsely,f
morph,A,6,control,FALSIFY,lecture,f
morph,A,7,experimental,FIRMNESS,firmly,f
morph,B,7,control,FIRMNESS,fight,f
morph,B,8,experimental,HAPPILY,happiness,f
morph,A,8,control,HAPPILY,important,f
morph,A,9,experimental,HUNTABLE,hunter,f
morph,B,9,control,HUNTABLE,clinic,f
morph,B,10,experimental,LEARNABLE,learner,f
morph,A,10,control,LEARNABLE,liberal,f
morph,A,11,experimental,LOUDNESS,loudly,f
morph,B,11,control,LOUDNESS,cognac,f
morph,B,12,experimental,PAINTABLE,painter,f
morph,A,12,control,PAINTABLE,married,f
morph,A,13,experimental,PREHEAT,reheat,f
morph,B,13,control,PREHEAT,device,f
morph,B,14,experimental,PURELY,purify,f
morph,A,14,control,PURELY,cowboy,f
morph,A,15,experimental,ADAPTER,adaptable,f
morph,B,15,control,ADAPTER,intuition,f
morph,B,16,experimental,BITTERLY,bitterness,f
morph,A,16,control,BITTERLY,centimeter,f
morph,A,17,experimental,REFOLD,unfold,f
morph,B,17,control,REFOLD,dollar,f
morph,B,18,experimental,RELOCK,unlock,f
morph,A,18,control,RELOCK,doctor,f
morph,A,19,experimental,REMOUNT,dismount,f
morph,B,19,control,REMOUNT,division,f
morph,B,20,experimental,REPAY,prepay,f
morph,A,20,control,REPAY,divine,f
morph,A,21,experimental,ROUGHLY,roughness,f
morph,B,21,control,ROUGHLY,limousine,f
morph,B,22,experimental,SADLY,sadness,f
morph,A,22,control,SADLY,massage,f
morph,A,23,experimental,SLOWISH,slowly,f
morph,B,23,control,SLOWISH,father,f
morph,B,24,experimental,SNOBBISH,snobby,f
morph,A,24,control,SNOBBISH,cotton,f
morph,A,25,experimental,SWIMMER,swimable,f
morph,B,25,control,SWIMMER,election,f
morph,B,26,experimental,TOUGHLY,toughness,f
morph,A,26,control,TOUGHLY,marketing,f
morph,A,27,experimental,UNABLE,disable,f
morph,B,27,control,UNABLE,missile,f
morph,B,28,experimental,CLEANER,cleanly,f
morph,A,28,control,CLEANER,monitor,f
both,A,29,experimental,BRUNCH,lunch,f
both,B,29,control,BRUNCH,fleet,f
both,B,30,experimental,BUSTLE,hustle,f
both,A,30,control,BUSTLE,comedy,f
both,A,31,experimental,CONVERGE,merge,f
both,B,31,control,CONVERGE,fruit,f
both,B,32,experimental,CRINKLE,wrinkle,f
both,A,32,control,CRINKLE,mystery,f
both,A,33,experimental,DEVIL,evil,f
both,B,33,control,DEVIL,chew,f
both,B,34,experimental,FLOOD,float,f
both,A,34,control,FLOOD,gifted,f
both,A,35,experimental,FLUTTER,flurry,f
both,B,35,control,UTTER,onion,f
both,B,36,experimental,FONDLE,handle,f
both,A,36,control,FONDLE,coffee,f
both,A,37,experimental,FREEZE,frost,f
both,B,37,control,FREEZE,mayor,f
both,B,38,experimental,GHOST,ghoul,f
both,A,38,control,GHOST,owner,f
both,A,39,experimental,GLEAM,glint,f
both,B,39,control,GLEAM,orbit,f
both,B,40,experimental,GROAN,grumble,f
both,A,40,control,GROAN,october,f
both,A,41,experimental,LOATHE,loath,f
both,B,41,control,LOATHE,onion,f
both,B,42,experimental,MOHAIR,hair,f
both,A,42,control,MOHAIR,drug,f
both,A,43,experimental,HOTEL,motel,f
both,B,43,control,HOTEL,naked,f
both,B,44,experimental,NOSTRIL,nose,f
both,A,44,control,NOSTRIL,duck,f
both,A,45,experimental,PLACARD,card,f
both,B,45,control,PLACARD,fast,f
both,B,46,experimental,PLUNGE,plummet,f
both,A,46,control,PLUNGE,perfume,f
both,A,47,experimental,SCALD,scorch,f
both,B,47,control,SCALD,danger,f
both,B,48,experimental,SCRAPE,scratch,f
both,A,48,control,SCRAPE,prepare,f
both,A,49,experimental,SCREECH,scream,f
both,B,49,control,SCREECH,filthy,f
both,B,50,experimental,SHELVE,shelf,f
both,A,50,control,SHELVE,mayor,f
both,A,51,experimental,SHRIVEL,shrink,f
both,B,51,control,SHRIVEL,forest,f
both,B,52,experimental,CRUMPLE,rumple,f
both,A,52,control,CRUMPLE,wallet,f
both,A,53,experimental,SLITHER,slink,f
both,B,53,control,SLITHER,lover,f
both,B,54,experimental,SPAM,ham,f
both,A,54,control,SPAM,hat,f
both,A,55,experimental,SHIMMER,glimmer,f
both,B,55,control,SHIMMER,plastic,f
sem,B,56,experimental,PYGMY,dwarf,f
sem,A,56,control,PYGMY,local,f
sem,A,57,experimental,AWKWARD,clumsy,f
sem,B,57,control,AWKWARD,wealth,f
sem,B,58,experimental,BUD,flower,f
sem,A,58,control,BUD,weekly,f
sem,A,59,experimental,BUMP,knock,f
sem,B,59,control,BUMP,skull,f
sem,B,60,experimental,CANCEL,stop,f
sem,A,60,control,CANCEL,four,f
sem,A,61,experimental,DRENCH,soak,f
sem,B,61,control,DRENCH,fuel,f
sem,B,62,experimental,CHAIR,stool,f
sem,A,62,control,CHAIR,spend,f
sem,A,63,experimental,DOMINANT,supreme,f
sem,B,63,control,DOMINANT,passion,f
sem,B,64,experimental,CHORE,duty,f
sem,A,64,control,CHORE,gate,f
sem,A,65,experimental,COMPOST,manure,f
sem,B,65,control,COMPOST,winter,f
sem,B,66,experimental,CORPSE,mummy,f
sem,A,66,control,CORPSE,solar,f
sem,A,67,experimental,DETERGENT,soap,f
sem,B,67,control,DETERGENT,gift,f
sem,B,68,experimental,EVIDENCE,proof,f
sem,A,68,control,EVIDENCE,sleep,f
sem,A,69,experimental,PURSUE,follow,f
sem,B,69,control,PURSUE,wizard,f
sem,B,70,experimental,GUT,bowel,f
sem,A,70,control,GUT,solar,f
sem,A,71,experimental,HARE,bunny,f
sem,B,71,control,HARE,coast,f
sem,B,72,experimental,INFANT,child,f
sem,A,72,control,INFANT,crime,f
sem,A,73,experimental,JOVIAL,merry,f
sem,B,73,control,JOVIAL,cruel,f
sem,B,74,experimental,PLEDGE,oath,f
sem,A,74,control,PLEDGE,deck,f
sem,A,75,experimental,BANISH,deport,f
sem,B,75,control,BANISH,worker,f
sem,B,76,experimental,GAMBLE,risk,f
sem,A,76,control,GAMBLE,dawn,f
sem,A,77,experimental,SCANDAL,gossip,f
sem,B,77,control,SCANDAL,worthy,f
sem,B,78,experimental,STOMACH,belly,f
sem,A,78,control,STOMACH,dress,f
sem,A,79,experimental,SWALLOW,digest,f
sem,B,79,control,SWALLOW,writer,f
sem,B,80,experimental,SWEETIE,lolly,f
sem,A,80,control,SWEETIE,drunk,f
sem,A,81,experimental,MUZZLE,gag,f
sem,B,81,control,MUZZLE,fog,f
sem,B,82,experimental,FELLOW,mate,f
sem,A,82,control,FELLOW,maid,f
sem,A,83,experimental,CORRIDOR,passage,f
sem,B,83,control,CORRIDOR,nuclear,f
sem,B,84,experimental,WILD,feral,f
sem,A,84,control,WILD,equip,f
sem,A,85,experimental,SHREWD,canny,f
sem,B,85,control,SHREWD,alarm,f
sem,B,86,experimental,CARNIVAL,fete,f
sem,A,86,control,CARNIVAL,loan,f
orth,A,87,experimental,ASPIRE,aspirin,f
orth,B,87,control,ASPIRE,reactor,f
orth,B,88,experimental,BATTER,patter,f
orth,A,88,control,BATTER,yellow,f
orth,A,89,experimental,BUTTER,button,f
orth,B,89,control,BUTTER,oxygen,f
orth,B,90,experimental,CABIN,cabbage,f
orth,A,90,control,CABIN,quickly,f
orth,A,91,experimental,DANDRUFF,dandy,f
orth,B,91,control,DANDRUFF,alien,f
orth,B,92,experimental,DIRECT,correct,f
orth,A,92,control,DIRECT,privacy,f
orth,A,93,experimental,DOMINATE,domino,f
orth,B,93,control,DOMINATE,prison,f
orth,B,94,experimental,ELEGANT,elephant,f
orth,A,94,control,ELEGANT,epidemic,f
orth,A,95,experimental,FERRET,claret,f
orth,B,95,control,FERRET,player,f
orth,B,96,experimental,GALLEY,gallon,f
orth,A,96,control,GALLEY,rabbit,f
orth,A,97,experimental,TYPHOID,typhoon,f
orth,B,97,control,TYPHOID,fighter,f
orth,B,98,experimental,LAVATORY,lavender,f
orth,A,98,control,LAVATORY,electric,f
orth,A,99,experimental,LIZARD,wizard,f
orth,B,99,control,LIZARD,rotate,f
orth,B,100,experimental,MEDLEY,medal,f
orth,A,100,control,MEDLEY,alley,f
orth,A,101,experimental,MEMORY,member,f
orth,B,101,control,MEMORY,safety,f
orth,B,102,experimental,TERRACE,grace,f
orth,A,102,control,TERRACE,alpha,f
orth,A,103,experimental,MERGER,mercy,f
orth,B,103,control,MERGER,bacon,f
orth,B,104,experimental,TUMOR,tumble,f
orth,A,104,control,TUMOR,sailor,f
orth,A,105,experimental,NIMBLE,thimble,f
orth,B,105,control,NIMBLE,express,f
orth,B,106,experimental,FIBRE,calibre,f
orth,A,106,control,FIBRE,feeling,f
orth,A,107,experimental,PARADISE,paradox,f
orth,B,107,control,PARADISE,fishing,f
orth,B,108,experimental,REMEDY,remnant,f
orth,A,108,control,REMEDY,disease,f
orth,A,109,experimental,SARCASM,sardine,f
orth,B,109,control,SARCASM,dispute,f
orth,B,110,experimental,SCAMPI,scamper,f
orth,A,110,control,SCAMPI,evening,f
orth,A,111,experimental,SENTENCE,sentry,f
orth,B,111,control,SENTENCE,salary,f
orth,B,112,experimental,SHUDDER,rudder,f
orth,A,112,control,SHUDDER,silver,f
orth,A,113,experimental,SISTER,fester,f
orth,B,113,control,SISTER,street,f
orth,B,114,experimental,SOUND,source,f
orth,A,114,control,SOUND,stroll,f
orth,A,115,experimental,TENDER,tendon,f
orth,B,115,control,TENDER,talent,f
orth,B,116,experimental,DRIZZLE,puzzle,f
orth,A,116,control,DRIZZLE,thirst,f
orth,A,117,experimental,TINKLE,tiny,f
orth,B,117,control,TINKLE,meal,f
orth,B,118,experimental,VIRTUE,virtual,f
orth,A,118,control,VIRTUE,excited,f
idmain,A,119,experimental,HONEY,honey,f
idmain,B,119,control,HONEY,beard,f
idmain,B,120,experimental,PRIZE,prize,f
idmain,A,120,control,PRIZE,black,f
idmain,A,121,experimental,CATCH,catch,f
idmain,B,121,control,CATCH,brave,f
idmain,B,122,experimental,SWORD,sword,f
idmain,A,122,control,SWORD,bride,f
idmain,A,123,experimental,YEAST,yeast,f
idmain,B,123,control,YEAST,buyer,f
idmain,B,124,experimental,DECAY,decay,f
idmain,A,124,control,DECAY,cargo,f
idmain,A,125,experimental,DRANK,drank,f
idmain,B,125,control,DRANK,chair,f
idmain,B,126,experimental,GLARE,glare,f
idmain,A,126,control,GLARE,cheap,f
idmain,A,127,experimental,GOOSE,goose,f
idmain,B,127,control,GOOSE,child,f
idmain,B,128,experimental,TANGO,tango,f
idmain,A,128,control,TANGO,close,f
idmain,A,129,experimental,PRISON,prison,f
idmain,B,129,control,PRISON,tissue,f
idmain,B,130,experimental,SLIGHT,slight,f
idmain,A,130,control,SLIGHT,tomato,f
idmain,A,131,experimental,HEAVEN,heaven,f
idmain,B,131,control,HEAVEN,tunnel,f
idmain,B,132,experimental,PRAYER,prayer,f
idmain,A,132,control,PRAYER,turtle,f
idmain,A,133,experimental,BASKET,basket,f
idmain,B,133,control,BASKET,verify,f
idmain,B,134,experimental,RIPPLE,ripple,f
idmain,A,134,control,RIPPLE,vision,f
idmain,A,135,experimental,BEAKER,beaker,f
idmain,B,135,control,BEAKER,wallet,f
idmain,B,136,experimental,BELLOW,bellow,f
idmain,A,136,control,BELLOW,winner,f
idmain,A,137,experimental,OPINION,opinion,f
idmain,B,137,control,OPINION,explode,f
idmain,B,138,experimental,MINIMUM,minimum,f
idmain,A,138,control,MINIMUM,airport,f
idmain,A,139,experimental,UNIFORM,uniform,f
idmain,B,139,control,UNIFORM,amazing,f
idmain,B,140,experimental,PEASANT,peasant,f
idmain,A,140,control,PEASANT,believe,f
idmain,A,141,experimental,CONDUCT,conduct,f
idmain,B,141,control,CONDUCT,bedroom,f
idmain,B,142,experimental,CONCERT,concert,f
idmain,A,142,control,CONCERT,biology,f
idmain,A,143,experimental,ACTRESS,actress,f
idmain,B,143,control,ACTRESS,closure,f
idmain,B,144,experimental,INCLUDE,include,f
idmain,A,144,control,INCLUDE,confess,f
idmain,A,145,experimental,PORTION,portion,f
idmain,B,145,control,PORTION,content,f
idmain,B,146,experimental,ROMANCE,romance,f
